station_id,date,met_DEW,met_TMP,prcp_PRCP,date_local,hour_local,month_local
72502014734,2025-01-01 00:00:00+00:00,5.0,10.0,,2024-12-31 19:00:00-05:00,19,12
72502014734,2025-01-01 00:51:00+00:00,4.4,10.0,0.1,2024-12-31 19:51:00-05:00,19,12
72502014734,2025-01-01 01:51:00+00:00,6.1,8.3,0.1,2024-12-31 20:51:00-05:00,20,12
72502014734,2025-01-01 02:20:00+00:00,5.6,7.8,0.1,2024-12-31 21:20:00-05:00,21,12
72502014734,2025-01-01 02:28:00+00:00,5.6,7.8,0.1,2024-12-31 21:28:00-05:00,21,12
72502014734,2025-01-01 02:39:00+00:00,5.6,7.8,0.1,2024-12-31 21:39:00-05:00,21,12
72502014734,2025-01-01 02:42:00+00:00,5.6,7.8,0.1,2024-12-31 21:42:00-05:00,21,12
72502014734,2025-01-01 02:51:00+00:00,6.1,7.8,0.1,2024-12-31 21:51:00-05:00,21,12
72502014734,2025-01-01 03:00:00+00:00,6.1,7.8,0.3,2024-12-31 22:00:00-05:00,22,12
72502014734,2025-01-01 03:05:00+00:00,6.1,7.8,0.1,2024-12-31 22:05:00-05:00,22,12
72502014734,2025-01-01 03:51:00+00:00,6.1,7.8,0.1,2024-12-31 22:51:00-05:00,22,12
72502014734,2025-01-01 04:26:00+00:00,6.7,8.3,0.1,2024-12-31 23:26:00-05:00,23,12
72502014734,2025-01-01 04:51:00+00:00,6.7,8.9,0.1,2024-12-31 23:51:00-05:00,23,12
72502014734,2025-01-01 04:59:00+00:00,,,2.4,2024-12-31 23:59:00-05:00,23,12
72502014734,2025-01-01 05:33:00+00:00,7.2,9.4,,2025-01-01 00:33:00-05:00,0,1
72502014734,2025-01-01 05:51:00+00:00,7.2,9.4,0.1,2025-01-01 00:51:00-05:00,0,1
72502014734,2025-01-01 06:00:00+00:00,7.2,9.4,0.6,2025-01-01 01:00:00-05:00,1,1
72502014734,2025-01-01 06:51:00+00:00,7.2,8.9,0.1,2025-01-01 01:51:00-05:00,1,1
72502014734,2025-01-01 07:43:00+00:00,7.2,8.9,,2025-01-01 02:43:00-05:00,2,1
